input,output
"[1674.0, 144.0, 22.0, 89.0, 124.0, 170.0, 4531.0, 233.0, 254.0, 43.0, 13.0, 944.0, 665.0, 173.0, 46.0, 78.0, 37.0, 81.0, 18.0, 0.0, 12.0, 37.0, 3035.0, 46.0, 44.0, 1005.0, 51.0, 220.0, 73.0, 0.0]",573.0
"[1737.0, 161.0, 32.0, 101.0, 95.0, 636.0, 4497.0, 298.0, 226.0, 32.0, 4.0, 1049.0, 637.0, 131.0, 51.0, 98.0, 30.0, 88.0, 19.0, 0.0, 7.0, 28.0, 2840.0, 90.0, 42.0, 980.0, 52.0, 252.0, 74.0, 0.0]",541.0
"[2050.0, 175.0, 27.0, 109.0, 97.0, 242.0, 5021.0, 233.0, 253.0, 25.0, 5.0, 1068.0, 733.0, 178.0, 45.0, 80.0, 35.0, 77.0, 33.0, 0.0, 16.0, 24.0, 2323.0, 69.0, 60.0, 956.0, 81.0, 207.0, 91.0, 0.0]",585.0
"[1938.0, 145.0, 20.0, 77.0, 124.0, 203.0, 4886.0, 198.0, 234.0, 25.0, 4.0, 815.0, 619.0, 141.0, 49.0, 90.0, 35.0, 64.0, 37.0, 0.0, 18.0, 35.0, 1909.0, 54.0, 54.0, 1119.0, 65.0, 185.0, 101.0, 0.0]",566.0
"[1719.0, 129.0, 39.0, 112.0, 111.0, 189.0, 4604.0, 160.0, 210.0, 28.0, 5.0, 927.0, 553.0, 144.0, 36.0, 90.0, 33.0, 55.0, 26.0, 0.0, 18.0, 25.0, 1722.0, 60.0, 41.0, 1057.0, 58.0, 196.0, 81.0, 0.0]",520.0
"[1684.0, 149.0, 24.0, 98.0, 102.0, 156.0, 4751.0, 208.0, 242.0, 37.0, 6.0, 876.0, 688.0, 123.0, 46.0, 78.0, 31.0, 91.0, 34.0, 0.0, 13.0, 25.0, 1829.0, 64.0, 40.0, 973.0, 68.0, 189.0, 80.0, 0.0]",511.0
"[1741.0, 152.0, 31.0, 65.0, 157.0, 166.0, 4446.0, 218.0, 227.0, 25.0, 6.0, 775.0, 861.0, 136.0, 61.0, 99.0, 30.0, 124.0, 18.0, 0.0, 12.0, 24.0, 2320.0, 114.0, 39.0, 926.0, 75.0, 219.0, 77.0, 0.0]",462.0
"[1656.0, 147.0, 148.0, 70.0, 128.0, 205.0, 4461.0, 231.0, 202.0, 36.0, 8.0, 792.0, 721.0, 108.0, 61.0, 109.0, 37.0, 49.0, 29.0, 0.0, 22.0, 16.0, 1997.0, 89.0, 43.0, 1066.0, 70.0, 222.0, 54.0, 0.0]",526.0
"[1717.0, 165.0, 35.0, 54.0, 164.0, 215.0, 4310.0, 237.0, 229.0, 50.0, 15.0, 880.0, 714.0, 114.0, 44.0, 105.0, 27.0, 53.0, 22.0, 0.0, 20.0, 28.0, 2235.0, 96.0, 39.0, 924.0, 59.0, 231.0, 86.0, 0.0]",537.0
"[1921.0, 150.0, 33.0, 51.0, 115.0, 174.0, 4932.0, 246.0, 248.0, 26.0, 6.0, 1160.0, 752.0, 128.0, 41.0, 81.0, 18.0, 78.0, 20.0, 0.0, 9.0, 20.0, 2817.0, 69.0, 35.0, 996.0, 69.0, 203.0, 69.0, 0.0]",609.0
"[2134.0, 119.0, 18.0, 84.0, 110.0, 183.0, 4365.0, 181.0, 234.0, 26.0, 5.0, 843.0, 686.0, 167.0, 33.0, 89.0, 29.0, 45.0, 19.0, 0.0, 11.0, 31.0, 2155.0, 73.0, 43.0, 1269.0, 79.0, 205.0, 71.0, 0.0]",528.0
"[1772.0, 138.0, 25.0, 71.0, 139.0, 163.0, 4350.0, 212.0, 256.0, 20.0, 7.0, 879.0, 643.0, 102.0, 42.0, 76.0, 28.0, 153.0, 19.0, 0.0, 16.0, 22.0, 1849.0, 71.0, 40.0, 1164.0, 58.0, 216.0, 75.0, 0.0]",524.0
"[1647.0, 123.0, 41.0, 81.0, 95.0, 170.0, 4537.0, 148.0, 482.0, 32.0, 5.0, 800.0, 603.0, 135.0, 37.0, 99.0, 33.0, 52.0, 16.0, 0.0, 16.0, 14.0, 1730.0, 51.0, 30.0, 5014.0, 71.0, 152.0, 64.0, 0.0]",576.0
"[1576.0, 123.0, 26.0, 67.0, 107.0, 180.0, 4098.0, 176.0, 459.0, 21.0, 3.0, 836.0, 444.0, 121.0, 39.0, 84.0, 36.0, 51.0, 20.0, 0.0, 13.0, 12.0, 1617.0, 74.0, 38.0, 7990.0, 49.0, 167.0, 59.0, 0.0]",561.0
"[1825.0, 161.0, 28.0, 73.0, 138.0, 217.0, 4129.0, 249.0, 401.0, 34.0, 1.0, 1107.0, 426.0, 158.0, 49.0, 87.0, 24.0, 171.0, 22.0, 0.0, 21.0, 32.0, 1814.0, 96.0, 24.0, 3562.0, 30.0, 204.0, 80.0, 0.0]",571.0
"[1710.0, 179.0, 21.0, 64.0, 145.0, 240.0, 4489.0, 273.0, 272.0, 41.0, 3.0, 1412.0, 444.0, 111.0, 43.0, 79.0, 32.0, 66.0, 29.0, 0.0, 15.0, 16.0, 1710.0, 61.0, 45.0, 1727.0, 41.0, 245.0, 82.0, 0.0]",685.0
"[2077.0, 173.0, 22.0, 103.0, 139.0, 217.0, 5181.0, 268.0, 254.0, 27.0, 4.0, 1370.0, 423.0, 136.0, 61.0, 92.0, 23.0, 56.0, 41.0, 0.0, 6.0, 38.0, 1716.0, 60.0, 61.0, 1604.0, 47.0, 300.0, 76.0, 0.0]",619.0
"[1751.0, 150.0, 28.0, 74.0, 90.0, 150.0, 4556.0, 188.0, 288.0, 18.0, 1.0, 1011.0, 406.0, 110.0, 34.0, 79.0, 30.0, 57.0, 34.0, 0.0, 13.0, 23.0, 1358.0, 63.0, 44.0, 1334.0, 21.0, 227.0, 70.0, 0.0]",552.0
"[1813.0, 135.0, 24.0, 80.0, 105.0, 168.0, 4679.0, 244.0, 286.0, 20.0, 2.0, 981.0, 430.0, 127.0, 31.0, 65.0, 27.0, 47.0, 20.0, 0.0, 19.0, 17.0, 1352.0, 75.0, 46.0, 1318.0, 26.0, 231.0, 76.0, 0.0]",624.0
"[2053.0, 146.0, 152.0, 44.0, 97.0, 188.0, 4839.0, 179.0, 319.0, 21.0, 7.0, 947.0, 393.0, 211.0, 37.0, 70.0, 28.0, 75.0, 33.0, 0.0, 38.0, 14.0, 1342.0, 53.0, 52.0, 1454.0, 38.0, 272.0, 70.0, 0.0]",606.0
"[1775.0, 234.0, 28.0, 71.0, 101.0, 173.0, 4690.0, 157.0, 275.0, 16.0, 5.0, 789.0, 374.0, 151.0, 26.0, 81.0, 36.0, 45.0, 29.0, 0.0, 102.0, 33.0, 1659.0, 47.0, 56.0, 1144.0, 28.0, 290.0, 104.0, 0.0]",500.0
"[1886.0, 612.0, 23.0, 86.0, 124.0, 177.0, 4564.0, 257.0, 256.0, 39.0, 8.0, 863.0, 574.0, 149.0, 42.0, 94.0, 50.0, 50.0, 25.0, 0.0, 166.0, 31.0, 1968.0, 45.0, 51.0, 1281.0, 37.0, 533.0, 221.0, 0.0]",762.0
"[1774.0, 297.0, 24.0, 52.0, 114.0, 474.0, 4260.0, 249.0, 267.0, 56.0, 8.0, 1034.0, 629.0, 116.0, 57.0, 105.0, 48.0, 50.0, 36.0, 0.0, 201.0, 25.0, 2247.0, 67.0, 46.0, 1171.0, 154.0, 314.0, 113.0, 0.0]",887.0
"[4828.0, 254.0, 26.0, 68.0, 129.0, 214.0, 4779.0, 213.0, 309.0, 28.0, 7.0, 1115.0, 589.0, 134.0, 35.0, 132.0, 24.0, 63.0, 154.0, 0.0, 68.0, 12.0, 1725.0, 62.0, 54.0, 1956.0, 24.0, 295.0, 126.0, 0.0]",750.0
"[2042.0, 214.0, 25.0, 73.0, 127.0, 169.0, 4702.0, 157.0, 307.0, 22.0, 5.0, 803.0, 414.0, 171.0, 23.0, 98.0, 43.0, 53.0, 87.0, 0.0, 59.0, 8.0, 1456.0, 56.0, 44.0, 1328.0, 33.0, 291.0, 98.0, 0.0]",536.0
"[2098.0, 212.0, 26.0, 91.0, 103.0, 156.0, 4759.0, 195.0, 596.0, 36.0, 10.0, 880.0, 516.0, 123.0, 40.0, 80.0, 38.0, 40.0, 53.0, 0.0, 38.0, 17.0, 1531.0, 56.0, 39.0, 8097.0, 35.0, 316.0, 80.0, 0.0]",526.0
"[1780.0, 178.0, 31.0, 61.0, 124.0, 207.0, 4323.0, 168.0, 384.0, 29.0, 8.0, 869.0, 407.0, 149.0, 32.0, 92.0, 28.0, 48.0, 35.0, 0.0, 56.0, 22.0, 1427.0, 126.0, 44.0, 5977.0, 25.0, 301.0, 89.0, 0.0]",483.0
"[1817.0, 143.0, 22.0, 70.0, 280.0, 191.0, 4849.0, 191.0, 362.0, 23.0, 5.0, 885.0, 426.0, 119.0, 25.0, 87.0, 38.0, 50.0, 18.0, 0.0, 50.0, 15.0, 1401.0, 45.0, 35.0, 2646.0, 37.0, 288.0, 78.0, 0.0]",509.0
"[1707.0, 175.0, 26.0, 88.0, 88.0, 169.0, 4248.0, 230.0, 292.0, 33.0, 2.0, 1237.0, 380.0, 115.0, 22.0, 101.0, 40.0, 71.0, 17.0, 0.0, 43.0, 9.0, 1562.0, 107.0, 36.0, 1459.0, 13.0, 293.0, 63.0, 0.0]",533.0
"[1538.0, 174.0, 15.0, 61.0, 94.0, 268.0, 4422.0, 234.0, 311.0, 50.0, 9.0, 1190.0, 481.0, 104.0, 32.0, 91.0, 45.0, 58.0, 20.0, 0.0, 76.0, 8.0, 1595.0, 79.0, 30.0, 1437.0, 32.0, 256.0, 87.0, 0.0]",639.0
"[1942.0, 177.0, 19.0, 64.0, 265.0, 192.0, 5344.0, 346.0, 277.0, 26.0, 6.0, 1157.0, 476.0, 120.0, 29.0, 93.0, 26.0, 64.0, 33.0, 0.0, 39.0, 14.0, 1695.0, 79.0, 47.0, 1673.0, 39.0, 469.0, 89.0, 0.0]",560.0
"[1923.0, 151.0, 31.0, 48.0, 114.0, 162.0, 5504.0, 270.0, 309.0, 32.0, 1.0, 759.0, 402.0, 149.0, 34.0, 91.0, 19.0, 49.0, 27.0, 0.0, 37.0, 13.0, 1390.0, 60.0, 38.0, 1709.0, 23.0, 408.0, 86.0, 0.0]",514.0
"[2008.0, 160.0, 144.0, 77.0, 119.0, 156.0, 5171.0, 242.0, 290.0, 128.0, 3.0, 809.0, 381.0, 160.0, 28.0, 112.0, 24.0, 53.0, 35.0, 0.0, 18.0, 24.0, 1431.0, 172.0, 41.0, 1575.0, 29.0, 351.0, 83.0, 0.0]",538.0
"[1848.0, 164.0, 25.0, 72.0, 120.0, 164.0, 5074.0, 332.0, 313.0, 31.0, 4.0, 783.0, 391.0, 146.0, 25.0, 116.0, 34.0, 43.0, 35.0, 0.0, 13.0, 15.0, 1325.0, 93.0, 78.0, 1332.0, 30.0, 316.0, 100.0, 0.0]",624.0
"[1788.0, 106.0, 22.0, 84.0, 175.0, 170.0, 5092.0, 364.0, 447.0, 21.0, 4.0, 760.0, 397.0, 126.0, 22.0, 92.0, 30.0, 34.0, 25.0, 0.0, 13.0, 21.0, 1421.0, 75.0, 43.0, 2305.0, 30.0, 361.0, 66.0, 0.0]",590.0
"[1735.0, 170.0, 30.0, 65.0, 126.0, 191.0, 4830.0, 339.0, 567.0, 32.0, 2.0, 810.0, 484.0, 154.0, 20.0, 82.0, 42.0, 43.0, 18.0, 0.0, 9.0, 15.0, 1762.0, 83.0, 40.0, 7895.0, 32.0, 324.0, 84.0, 0.0]",681.0
"[1657.0, 169.0, 21.0, 76.0, 128.0, 162.0, 4631.0, 242.0, 339.0, 33.0, 6.0, 932.0, 450.0, 122.0, 26.0, 81.0, 34.0, 42.0, 26.0, 0.0, 11.0, 20.0, 1637.0, 59.0, 49.0, 3126.0, 26.0, 300.0, 82.0, 0.0]",575.0
"[2336.0, 153.0, 21.0, 72.0, 108.0, 186.0, 5526.0, 286.0, 304.0, 36.0, 4.0, 1165.0, 481.0, 189.0, 29.0, 90.0, 31.0, 58.0, 17.0, 0.0, 16.0, 17.0, 1869.0, 65.0, 42.0, 2424.0, 29.0, 251.0, 74.0, 0.0]",590.0
"[2130.0, 155.0, 25.0, 91.0, 105.0, 159.0, 5030.0, 277.0, 357.0, 27.0, 3.0, 816.0, 401.0, 225.0, 31.0, 76.0, 23.0, 65.0, 21.0, 0.0, 14.0, 11.0, 1495.0, 59.0, 34.0, 2608.0, 18.0, 284.0, 76.0, 0.0]",513.0
"[2152.0, 147.0, 27.0, 66.0, 117.0, 163.0, 4925.0, 236.0, 361.0, 25.0, 9.0, 965.0, 444.0, 185.0, 35.0, 83.0, 39.0, 48.0, 28.0, 0.0, 13.0, 13.0, 2969.0, 60.0, 41.0, 1939.0, 30.0, 258.0, 70.0, 0.0]",478.0
"[1968.0, 142.0, 15.0, 51.0, 228.0, 164.0, 5052.0, 282.0, 345.0, 13.0, 9.0, 835.0, 343.0, 207.0, 22.0, 61.0, 42.0, 59.0, 38.0, 0.0, 10.0, 21.0, 1885.0, 43.0, 47.0, 1614.0, 17.0, 267.0, 86.0, 0.0]",527.0
"[1852.0, 99.0, 22.0, 97.0, 107.0, 160.0, 4524.0, 197.0, 313.0, 19.0, 2.0, 854.0, 324.0, 191.0, 33.0, 59.0, 37.0, 56.0, 24.0, 0.0, 25.0, 14.0, 1670.0, 102.0, 47.0, 1761.0, 32.0, 291.0, 63.0, 0.0]",495.0
"[1707.0, 162.0, 24.0, 51.0, 125.0, 176.0, 4269.0, 232.0, 306.0, 47.0, 2.0, 1046.0, 362.0, 157.0, 29.0, 78.0, 37.0, 51.0, 17.0, 0.0, 11.0, 13.0, 1613.0, 78.0, 42.0, 1729.0, 24.0, 235.0, 90.0, 0.0]",626.0
"[1629.0, 130.0, 23.0, 53.0, 112.0, 140.0, 3966.0, 208.0, 224.0, 35.0, 4.0, 1017.0, 389.0, 90.0, 16.0, 75.0, 34.0, 41.0, 21.0, 0.0, 14.0, 18.0, 1474.0, 73.0, 48.0, 1410.0, 17.0, 246.0, 61.0, 0.0]",547.0
"[2036.0, 124.0, 16.0, 56.0, 88.0, 196.0, 4556.0, 203.0, 285.0, 17.0, 7.0, 1113.0, 387.0, 137.0, 38.0, 74.0, 27.0, 44.0, 32.0, 0.0, 18.0, 24.0, 1431.0, 57.0, 53.0, 1330.0, 18.0, 257.0, 67.0, 0.0]",574.0
"[2053.0, 116.0, 27.0, 77.0, 88.0, 154.0, 6380.0, 170.0, 265.0, 26.0, 4.0, 769.0, 327.0, 157.0, 22.0, 57.0, 32.0, 46.0, 29.0, 0.0, 13.0, 32.0, 1310.0, 45.0, 27.0, 1141.0, 23.0, 295.0, 72.0, 0.0]",533.0
"[1975.0, 118.0, 14.0, 77.0, 82.0, 131.0, 4948.0, 144.0, 265.0, 20.0, 2.0, 843.0, 323.0, 148.0, 24.0, 106.0, 33.0, 44.0, 23.0, 0.0, 9.0, 80.0, 1282.0, 32.0, 35.0, 1234.0, 12.0, 238.0, 67.0, 0.0]",498.0
"[2130.0, 197.0, 18.0, 78.0, 97.0, 136.0, 4926.0, 134.0, 308.0, 38.0, 10.0, 726.0, 474.0, 138.0, 34.0, 111.0, 68.0, 59.0, 42.0, 0.0, 21.0, 34.0, 1325.0, 64.0, 54.0, 1406.0, 32.0, 270.0, 109.0, 0.0]",1119.0
"[1999.0, 119.0, 14.0, 81.0, 79.0, 127.0, 4579.0, 165.0, 337.0, 29.0, 3.0, 711.0, 427.0, 172.0, 33.0, 90.0, 24.0, 49.0, 26.0, 0.0, 11.0, 18.0, 1512.0, 63.0, 41.0, 1383.0, 40.0, 295.0, 80.0, 0.0]",594.0
"[2004.0, 151.0, 22.0, 97.0, 77.0, 170.0, 5069.0, 221.0, 246.0, 32.0, 2.0, 837.0, 392.0, 151.0, 24.0, 81.0, 31.0, 42.0, 47.0, 0.0, 20.0, 26.0, 1503.0, 60.0, 43.0, 1302.0, 35.0, 255.0, 75.0, 0.0]",533.0
"[1724.0, 241.0, 26.0, 69.0, 93.0, 193.0, 4455.0, 211.0, 227.0, 35.0, 3.0, 1022.0, 412.0, 118.0, 145.0, 77.0, 29.0, 51.0, 36.0, 0.0, 8.0, 18.0, 1471.0, 55.0, 52.0, 986.0, 20.0, 267.0, 100.0, 0.0]",588.0
"[2166.0, 141.0, 17.0, 70.0, 72.0, 170.0, 6176.0, 228.0, 197.0, 21.0, 6.0, 938.0, 422.0, 146.0, 27.0, 96.0, 30.0, 56.0, 56.0, 0.0, 12.0, 12.0, 1409.0, 52.0, 59.0, 1069.0, 34.0, 238.0, 84.0, 0.0]",609.0
"[2356.0, 232.0, 12.0, 73.0, 88.0, 255.0, 5508.0, 215.0, 279.0, 30.0, 4.0, 845.0, 390.0, 151.0, 26.0, 71.0, 40.0, 51.0, 30.0, 0.0, 13.0, 22.0, 1290.0, 44.0, 50.0, 1270.0, 125.0, 282.0, 95.0, 0.0]",488.0
"[2301.0, 209.0, 21.0, 55.0, 102.0, 136.0, 5228.0, 156.0, 246.0, 23.0, 3.0, 769.0, 344.0, 146.0, 28.0, 88.0, 23.0, 55.0, 23.0, 0.0, 10.0, 13.0, 1214.0, 55.0, 35.0, 1255.0, 17.0, 290.0, 92.0, 0.0]",489.0
"[2189.0, 218.0, 20.0, 51.0, 85.0, 129.0, 4484.0, 176.0, 262.0, 31.0, 5.0, 776.0, 396.0, 167.0, 45.0, 80.0, 32.0, 47.0, 24.0, 0.0, 12.0, 6.0, 1377.0, 63.0, 51.0, 1313.0, 35.0, 287.0, 121.0, 0.0]",521.0
"[1981.0, 183.0, 26.0, 69.0, 90.0, 184.0, 4187.0, 191.0, 270.0, 32.0, 1.0, 851.0, 423.0, 159.0, 37.0, 92.0, 35.0, 46.0, 22.0, 0.0, 15.0, 11.0, 1822.0, 62.0, 53.0, 1219.0, 47.0, 313.0, 100.0, 0.0]",568.0
"[1798.0, 185.0, 28.0, 50.0, 71.0, 164.0, 4241.0, 217.0, 212.0, 30.0, 3.0, 892.0, 422.0, 157.0, 26.0, 78.0, 23.0, 54.0, 18.0, 0.0, 10.0, 8.0, 2653.0, 45.0, 42.0, 1082.0, 25.0, 279.0, 72.0, 0.0]",507.0
"[1534.0, 194.0, 20.0, 86.0, 91.0, 177.0, 3830.0, 251.0, 194.0, 31.0, 8.0, 872.0, 436.0, 97.0, 27.0, 76.0, 30.0, 65.0, 26.0, 0.0, 11.0, 26.0, 1898.0, 57.0, 36.0, 1225.0, 22.0, 244.0, 76.0, 0.0]",518.0
"[2197.0, 145.0, 20.0, 85.0, 98.0, 170.0, 4058.0, 180.0, 218.0, 21.0, 0.0, 1044.0, 402.0, 171.0, 57.0, 84.0, 29.0, 58.0, 36.0, 0.0, 12.0, 6.0, 1697.0, 60.0, 51.0, 1088.0, 21.0, 255.0, 71.0, 0.0]",552.0
"[2223.0, 119.0, 19.0, 80.0, 225.0, 139.0, 4604.0, 187.0, 192.0, 26.0, 2.0, 970.0, 372.0, 169.0, 31.0, 76.0, 24.0, 63.0, 25.0, 0.0, 8.0, 7.0, 1527.0, 78.0, 61.0, 1220.0, 27.0, 332.0, 78.0, 0.0]",580.0
"[2506.0, 112.0, 19.0, 95.0, 79.0, 167.0, 4286.0, 161.0, 232.0, 26.0, 8.0, 791.0, 432.0, 158.0, 23.0, 77.0, 19.0, 34.0, 21.0, 0.0, 9.0, 7.0, 1668.0, 49.0, 40.0, 1029.0, 23.0, 290.0, 64.0, 0.0]",568.0
"[3065.0, 129.0, 22.0, 77.0, 60.0, 149.0, 4344.0, 190.0, 234.0, 26.0, 5.0, 816.0, 467.0, 170.0, 30.0, 68.0, 33.0, 50.0, 14.0, 0.0, 23.0, 10.0, 1550.0, 56.0, 36.0, 1115.0, 31.0, 339.0, 85.0, 0.0]",590.0
"[2492.0, 143.0, 17.0, 59.0, 78.0, 138.0, 4217.0, 208.0, 245.0, 15.0, 2.0, 861.0, 540.0, 189.0, 34.0, 75.0, 29.0, 56.0, 30.0, 0.0, 12.0, 16.0, 1528.0, 69.0, 37.0, 1307.0, 29.0, 366.0, 78.0, 0.0]",715.0
"[2213.0, 179.0, 24.0, 52.0, 125.0, 168.0, 4256.0, 231.0, 245.0, 33.0, 5.0, 1048.0, 589.0, 159.0, 27.0, 90.0, 43.0, 67.0, 27.0, 0.0, 14.0, 26.0, 1737.0, 57.0, 64.0, 1728.0, 24.0, 317.0, 99.0, 0.0]",839.0
"[1816.0, 144.0, 25.0, 65.0, 98.0, 177.0, 3786.0, 247.0, 186.0, 61.0, 7.0, 1129.0, 491.0, 133.0, 21.0, 88.0, 31.0, 60.0, 19.0, 0.0, 15.0, 17.0, 1695.0, 64.0, 49.0, 1124.0, 28.0, 287.0, 88.0, 0.0]",840.0
"[2239.0, 212.0, 20.0, 82.0, 89.0, 155.0, 4030.0, 225.0, 217.0, 39.0, 5.0, 1070.0, 502.0, 149.0, 27.0, 117.0, 33.0, 62.0, 37.0, 0.0, 10.0, 29.0, 1649.0, 50.0, 70.0, 1139.0, 33.0, 339.0, 121.0, 0.0]",980.0
"[2118.0, 129.0, 19.0, 95.0, 82.0, 157.0, 4107.0, 178.0, 224.0, 37.0, 8.0, 776.0, 459.0, 153.0, 27.0, 89.0, 39.0, 33.0, 28.0, 0.0, 11.0, 12.0, 1614.0, 54.0, 50.0, 1028.0, 38.0, 301.0, 75.0, 0.0]",950.0
